category,status,goal,funded percentage,duration
Music,successful,2000,1.65,28.48
Art,successful,600,1.083333333,53.29
Music,failed,1000,0.165,29.96
Film & Video,failed,2500,0.016,50.63
Publishing,successful,3500,1.082474286,28.69
Music,successful,10000,1.0051,25
Film & Video,successful,3000,1.085786667,30.04
Film & Video,successful,500,2.886,90.96
Film & Video,failed,5000,0.006,30
Theater,successful,3000,1.3,56.91
Music,successful,800,1.1,59.24
Film & Video,successful,4000,1.3,33.68
Publishing,successful,6500,1.180538462,30
Theater,successful,12000,1.048916667,29.94
Design,failed,10000,0.0065,60
Music,failed,30000,0.009166667,60
Publishing,successful,1000,1.265,60
Music,failed,3500,0.057142857,60.04
Film & Video,successful,6800,1.063970588,60
Film & Video,successful,10000,1.0103,30
Publishing,successful,2000,1.341,30
Theater,successful,2500,1.814264,45
Publishing,successful,1111,2.189117912,60
Music,successful,500,1,33.06
Publishing,failed,100000,0.00155,59.14
Film & Video,failed,1200,0.105,30
Food,failed,40000,0.003425,30
Film & Video,successful,10000,1.179804,27.17
Film & Video,failed,4000,0.38775,38.27
Food,successful,5000,1.126,30
Film & Video,failed,4000,0.2641175,40
Music,successful,5000,1.032132,44.12
Film & Video,failed,50000,0.02732,60.42
Film & Video,successful,3000,1.105,27.46
Film & Video,successful,10000,1.061,59.29
Music,successful,1000,1.135,60
Theater,failed,3100,0.024193548,15.15
Film & Video,successful,2000,1.2,30.04
Film & Video,successful,8000,1.7145,42.16
Film & Video,successful,50000,1.1686,30.17
Publishing,failed,13000,0,60.04
Film & Video,failed,5000,0,14.33
Music,successful,500,1.05,59.96
Art,failed,100000,0.20189,38.34
Fashion,failed,2750,0.161818182,25.96
Design,successful,12000,1.028583333,29.96
Food,successful,6000,1.022666667,31.46
Film & Video,successful,1000,1.755,47
Comics,failed,5000,0.004,60.04
Art,failed,2500,0.4784,30
Music,successful,6000,1.0365,30.38
Comics,failed,3200,0.110625,60
Games,failed,1100,0.210627273,32
Theater,successful,1000,1.2,60
Music,successful,3000,1.3,30
Film & Video,failed,10000,0.152869,30
Film & Video,successful,800,1.1,29.96
Theater,successful,3000,1.06,30
Music,successful,9500,1.352177895,30
Film & Video,failed,6000,0.433333333,30
Film & Video,successful,7500,1.071333333,45.84
Film & Video,successful,2500,1.234,60
Publishing,failed,900,0.14,45
Games,successful,2500,1.0456,30
Music,failed,2800,0.171785714,30
Music,failed,4000,0.12375,46.87
Film & Video,failed,10000,0.026,30
Film & Video,successful,3000,1.205076667,30
Music,successful,4300,1,30
Publishing,failed,1000,0.745,50.39
Film & Video,failed,68600,0.110102041,59.96
Publishing,failed,25000,0.0648,31
Art,failed,50000,0.00466,59.5
Film & Video,failed,20000,0.005,30
Food,successful,5000,1.011,31.62
Music,successful,1100,1.583645455,20
Music,failed,7500,0,30
Music,failed,2800,0.000357143,60
Film & Video,successful,5600,1.02875,30.53
Publishing,failed,25000,0.07804,60
Music,successful,6000,1.106666667,34.42
Music,failed,2000,0.0375,45
