category,status,goal,funded percentage,duration
Design,successful,15000,1.886867333,30
Theater,successful,2000,1.0535,59.96
Film &amp; Video,failed,5000,0.13,60.05
Food,successful,20000,1.1154015,30
Film &amp; Video,successful,25000,2.045934,30
Art,successful,950,1.167368421,23
Film &amp; Video,successful,1200,1.03,40
Music,failed,1000,0.89,30.96
Art,failed,999,0.026026026,28.19
Music,successful,15000,2.734405333,30
Film &amp; Video,successful,15000,1.556083333,63.48
Food,failed,6000,0.127833333,30
Film &amp; Video,successful,4000,1.00025,45
Design,failed,5500,0,30.04
Food,failed,5000,0.1288,29.96
Film &amp; Video,failed,12000,0.030833333,89.72
Music,successful,5000,1.120182,45
Music,successful,4500,1.447777778,45
Music,failed,2000,0.0525,25.76
Music,successful,7000,1.038,30
Film &amp; Video,failed,5000,0.209,31.71
Film &amp; Video,failed,75000,0,30
Music,successful,1500,1.056666667,30
Film &amp; Video,successful,5000,1.02,60.96
Theater,successful,911.11,1.00255732,16.09
Film &amp; Video,failed,14500,0.092068966,32.29
Film &amp; Video,successful,12500,1.07896,45
Film &amp; Video,failed,6000,0,60.04
Food,successful,1500,1.326666667,33.06
Fashion,failed,3000,0.033333333,29.96
Art,failed,4500,0.141333333,45
Music,failed,3500,0.102857143,29.96
Film &amp; Video,successful,4000,1.0225,40
Publishing,failed,5000,0.0002,25
Film &amp; Video,successful,3000,1.00023,37.51
Food,failed,20000,0.44605,59.96
Design,successful,3000,2.277106667,24.19
Music,successful,2300,1.02173913,60.4
Music,successful,600,1.026666667,38.21
Photography,failed,1200,0.064166667,89.02
Dance,failed,1000,0.01,89.96
Dance,successful,2000,1.008,52.96
Film &amp; Video,failed,300000,0.000166667,48.9
Music,successful,5000,1.0276,61.75
Music,failed,15000,0.091666667,45
Film &amp; Video,failed,50000,0,89.92
Film &amp; Video,successful,18000,1,45.04
Design,successful,764.5,1.917606279,30
Theater,successful,2573,1.037699184,30
Publishing,successful,6500,1.043846154,57.43
Technology,failed,2000,0,31
Art,failed,850,0.001176471,51.8
Music,successful,1500,1.13,30
Film &amp; Video,successful,4500,1.229111111,41.47
Film &amp; Video,failed,2500,0.026,35.96
Music,successful,1000,1.18513,53.39
Publishing,failed,50000,0,40
Publishing,failed,2500,0.03,31.96
Music,successful,14000,1.016428571,44.96
Dance,failed,500,0.524,17.97
Film &amp; Video,failed,2500,0.172,29.96
Music,successful,8500,1.000263529,59.96
Publishing,successful,1250,1.6184,26.48
Music,successful,500,1.12,22.46
Photography,successful,1000,1.05,25.61
Publishing,successful,1000,2.002,30
Publishing,failed,1000,0.271,44.96
Photography,successful,600,2.62,30
Film &amp; Video,failed,480000,0.21416875,44.32
Film &amp; Video,failed,8000,0.264375,47.09
Publishing,successful,2500,1.2444,30
Music,successful,2500,1.137732,58.63
Film &amp; Video,failed,5000,0,30
Film &amp; Video,successful,1000,1.05,88.59
Photography,failed,1000,0.17,30
Film &amp; Video,successful,5000,1.08,45
Music,successful,2500,1,30.04
Music,successful,1500,2.852,30
Photography,failed,5000,0.042,60
Film &amp; Video,failed,5500,0,48.95
Games,failed,18000,0.052222222,30
Technology,successful,30000,3.360853333,30
Film &amp; Video,successful,20000,1.53765,30
Music,successful,5000,1.121102,31.46
Technology,failed,12000,0.071416667,37
Film &amp; Video,failed,20000,0,44.96
Music,successful,5000,1.032276,60
Games,successful,5000,1.638228,45.04
Music,successful,5000,1.1102,40
Art,failed,2000,0.3425,30
Music,failed,299000,0.256498395,40
Photography,failed,8000,0.02125,29.96
Music,successful,8500,1.414750588,47.01
Film &amp; Video,successful,1300,1.000769231,40.86
Games,failed,25000,0.003,30
Music,successful,950,1.915926316,28.1
Technology,failed,5000,0.0482,45
Film &amp; Video,successful,15000,1.005,32.84
Film &amp; Video,failed,118000,0,29.96
Art,successful,1100,1,45.04
Publishing,failed,500,0.06,40.63
Art,failed,10000,0.1045,30
Film &amp; Video,failed,25000,0.066,46.67
Film &amp; Video,successful,6000,1.144523333,30.04
Design,successful,2000,1.667485,30.04
Music,successful,10000,1.043527,59.32
Design,successful,4000,1.39685,60
Art,failed,10958,0.435937215,35.04
Theater,successful,7000,1.015714286,60
Music,successful,1000,1.382,34.19
Art,successful,4000,1.0075,30
Art,successful,2500,1.2744,32.38
Film &amp; Video,failed,500,0.09,90.96
Photography,failed,4700,0.007446809,30
Publishing,successful,12000,1.811388333,59.96
Music,failed,5000,0,30
Music,failed,700,0.035714286,31
Food,failed,15000,0.020666667,35.55
Music,successful,3500,1.09276,59.96
Publishing,failed,8111.11,0.014794523,30
Film &amp; Video,failed,4000,0.1875,29.96
Art,successful,850,2.027058824,18
Film &amp; Video,failed,8500,0.297058824,30
Theater,failed,1500,0.036666667,60
Music,successful,2000,1.28,37.01
Film &amp; Video,successful,4000,1,45
Food,failed,35000,0.021514286,59.96
Music,successful,3000,1.172336667,21.73
Film &amp; Video,failed,5000,0.5816,60
Film &amp; Video,successful,20000,1,30
Music,failed,2000,0.075,30
Film &amp; Video,successful,3000,1.023666667,30.04
Film &amp; Video,failed,5000,0.05,60
Music,successful,7500,1.128666667,36.11
Games,failed,14000,0.024428571,35
Theater,successful,500,1.235,20
Design,successful,3000,1.074333333,42.37
Film &amp; Video,successful,2500,1.0444,35.69
Design,successful,500,1.30848,39.96
Music,failed,4000,0,45.45
Film &amp; Video,failed,2000,0,30
Music,successful,5000,1.2602,30.04
Film &amp; Video,successful,2500,1.094,19.77
Theater,successful,5000,1.462,60
Comics,successful,2000,1.0235,40.9
Theater,successful,750,1.769173333,47.24
Publishing,failed,4000,0.13625,45
Music,successful,5000,1.02805,29.96
Theater,successful,500,1.1,37
Theater,successful,2000,1.9075,10.62
Music,failed,18500,0.16372973,59.96
Fashion,failed,4000,0.25,30
Publishing,successful,3000,1.343333333,13.34
Publishing,successful,9000,1.180222222,30
Design,successful,3000,1.047,60.04
Music,successful,500,2.402,30
Film &amp; Video,failed,5000,0.2204,46.96
Art,successful,1500,1.045333333,45.04
Music,successful,7000,1.031628571,59.96
Film &amp; Video,successful,2500,1.4666,30
Film &amp; Video,failed,3500,0,20.23
Fashion,failed,4000,0.05125,50.92
Dance,successful,1000,1.27,30
Fashion,failed,14500,0,45
Music,failed,1000,0.08,60.98
Theater,successful,1500,1.733333333,45.89
Music,successful,2500,1.3424,56.99
Music,successful,5500,1.012909091,90
Theater,failed,35000,0.000857143,30
Film &amp; Video,failed,200000,0.00025,60
Film &amp; Video,failed,8000,0.2425,30
Film &amp; Video,successful,5000,1.7622,30.97
Film &amp; Video,failed,25000,0.008,89.01
Film &amp; Video,successful,125000,2.76793976,31.28
Publishing,failed,7500,0,37.84
Film &amp; Video,failed,500,0,45
Film &amp; Video,successful,15000,1.124933333,40.65
Art,successful,13000,1.038589231,30
Music,successful,750,1.005333333,45
Film &amp; Video,failed,5000,0.03,29.9
Film &amp; Video,failed,63000,0.110714286,29.96
Technology,failed,60000,0.0423,31.96
Film &amp; Video,successful,7500,1.012666667,36.99
Film &amp; Video,successful,2000,1.09,30
Art,successful,7000,1.102992857,43.14
Film &amp; Video,successful,1500,1.336666667,15.14
Film &amp; Video,failed,230000,2.17E-05,59.96
Film &amp; Video,successful,4000,1.4925,30.04
Music,failed,10000,0.1291,30
Food,failed,17500,0.008571429,30
Music,failed,5000,0,30
Music,failed,23000,0.194913043,30
Film &amp; Video,successful,8000,1.47644,46.49
Publishing,successful,500,1.02,14
Theater,failed,20000,0.13215,57
Music,successful,3700,1.033783784,30.16
Film &amp; Video,successful,12000,1.02975,30.96
Comics,successful,5000,1.1566,29.96
Art,successful,5000,1.018,32
Comics,successful,3300,1.058987879,52
Film &amp; Video,successful,5000,1.066,30
Music,successful,500,1,45.9
Publishing,successful,3500,1.177142857,10.6
Comics,failed,10000,0.133,60
Music,successful,17000.11,1.05303848,35
Music,failed,6000,0.084666667,45
Publishing,failed,18500,0.027837838,39
Publishing,successful,2000,1.025,30
Art,successful,2500,1.16,30
Music,successful,4000,1.05875,45.13
Art,successful,3000,1.04,24.01
Film &amp; Video,failed,18000,0.091666667,50.96
Film &amp; Video,failed,20000,0.0045,45
Music,successful,1500,1.056666667,40
Music,successful,3000,1.066666667,30
Film &amp; Video,successful,1000,1.275,29.96
Music,successful,700,1.007142857,30
Music,successful,10000,1.7001,59.29
Music,failed,6000,0.0625,60
Publishing,successful,11000,1.077272727,30
Art,failed,5000,0.069,29.96
Film &amp; Video,successful,50000,1.2082996,44
Music,successful,1200,1.1,46.27
Design,successful,4700,1.034042553,90.96
Film &amp; Video,successful,1000,1.416,30
Design,successful,1750,1.405142857,29.96
Art,successful,700,1.622857143,30
Publishing,failed,2500,0,30
Music,successful,500,1.48,32
Film &amp; Video,failed,7000,0.318,30
Film &amp; Video,failed,15000,0.526419333,24.96
Art,successful,1500,2.92762,30
Film &amp; Video,successful,10000,1.034232,21
Film &amp; Video,successful,5000,1.034,60.04
Art,successful,3000,1.160666667,20
Music,successful,2000,1.075,43.96
Publishing,failed,5000,0,30
Comics,successful,3950,2.229534177,30.1
Film &amp; Video,successful,1250,1,11.52
Film &amp; Video,successful,10000,1.079566,31.99
Film &amp; Video,successful,3150,1.361904762,45
Art,successful,2500,1.0928,38.08
Film &amp; Video,failed,60000,0.000166667,57.03
Publishing,failed,10000,0.0945,60
Art,failed,20000,0.24715,30.99
Film &amp; Video,successful,3000,1.225,34.65
Music,failed,8000,0.00625,30
Film &amp; Video,successful,20000,1.318659,90
Film &amp; Video,failed,1000,0.07,30
Photography,successful,1500,1.080666667,35.48
Photography,successful,8500,1.129294118,90
Music,successful,3000,1.160333333,30
Theater,failed,800,0,88.48
Publishing,failed,5000,0.006,29.96
Music,successful,3500,1.020951429,63.95
Design,failed,4500,0,30
Theater,failed,10000,0.05,25.84
Publishing,failed,1500,0,30
Music,failed,4000,0,62.89
Games,successful,3500,1.157522857,89.99
Music,successful,750,1.52,30
Film &amp; Video,successful,10000,1.0383,25
Film &amp; Video,successful,2500,1.668,30
Dance,successful,3500,1.323714286,38.94
Film &amp; Video,failed,15000,0.238733333,11.08
Music,successful,7000,1.236714286,45
Music,successful,8000,1.24375,34.02
Music,successful,2799,1.003572705,55.43
Film &amp; Video,successful,3350,1.005074627,45
Theater,successful,2850,1,22.84
Film &amp; Video,successful,2500,1.044,60.96
Music,failed,5500,0.012727273,91
Film &amp; Video,successful,10000,1.0318,30
Art,successful,820,1.097560976,11.96
Music,successful,3500,1.663142857,60
Music,successful,9000,1,30
Film &amp; Video,failed,1500,0.030666667,29.96
Publishing,failed,8000,0.12,77.32
Art,successful,2000,1.0375,15.43
Film &amp; Video,failed,5000,0.007,30
Music,successful,1000,1.00149,28.34
Film &amp; Video,successful,15000,1.500533333,41.87
Food,failed,27000,0.002444444,45
Music,failed,5000,0.014,30
Art,successful,1000,1.33166,20.57
Theater,successful,500,1.092,30.04
Publishing,successful,5500,1.224067273,45
Dance,successful,4700,1.230212766,24.35
Comics,failed,40000,0,30
Games,failed,300000,0.042235533,40
Film &amp; Video,successful,4500,1.066666667,65.47
Music,successful,4000,1.82875,25.12
Theater,successful,1000,1.02042,60
Film &amp; Video,successful,11000,1.005363636,30
Fashion,successful,4350,1.037011494,45.18
Music,successful,1800,1.153333333,30
Music,successful,4100,1.096965854,33.14
Music,failed,12000,0.555555,45
Design,failed,3500,0,30
Music,successful,1500,1.51,40.04
Film &amp; Video,successful,3000,1.091666667,45.04
Film &amp; Video,successful,8000,1.03125,21
Music,successful,1500,1.040666667,78.45
Theater,successful,2500,1.3252,61.31
Food,failed,69000,0.268637681,40.39
Music,successful,6000,1.108233333,30
Film &amp; Video,successful,10000,1.0151,29.96
Art,failed,43000,0,59.96
Music,successful,900,1.305555556,62.01
Technology,failed,8000,0.00625,30
Art,failed,7000,0.025142857,45
Film &amp; Video,failed,13000,0.112307692,30
Music,successful,7500,1.247736,51.26
Film &amp; Video,successful,4500,1.069111111,40
Film &amp; Video,failed,8500,0.005294118,21.04
Art,successful,999,2.736736737,30
Film &amp; Video,successful,500,2.131,30
Music,successful,2200,1.387727273,54.4
Music,successful,5000,1.075576,27.53
Film &amp; Video,failed,100000,0,59.56
Film &amp; Video,failed,500,0.04,30
Comics,failed,3000,0.014,30
Music,successful,8000,1.026375,60.04
Music,failed,1000,0,75.07
Art,successful,15000,1.100082667,32.66
Food,successful,3500,1.164285714,58.05
Photography,successful,1700,1.026470588,46.12
Film &amp; Video,failed,6800,0.003676471,45
Music,successful,850,1.62,30
Film &amp; Video,failed,49000,0,30
Music,successful,2000,1.52,30
Film &amp; Video,successful,15000,1.032466667,45
Technology,failed,20000,0.00125,90
Photography,successful,6000,1.240166667,30
Photography,successful,3000,1.088333333,45.01
Film &amp; Video,failed,5866,0.085236959,54.57
Publishing,failed,1500,0.396,46.01
Dance,successful,1100,1.480909091,40
Music,successful,4200,1.722619048,50.23
Fashion,failed,3000,0.016666667,30
Film &amp; Video,successful,3000,1.017,35
Film &amp; Video,successful,1000,1.451,61.03
Technology,successful,12000,2.503916667,45
Art,successful,5500,1.108545455,30
Music,successful,1350,1.620740741,30
Film &amp; Video,failed,1000,0.075,43.83
Music,successful,550,1.567272727,28.63
Music,successful,2300,1.052608696,30
Art,failed,5000,0,45
Film &amp; Video,failed,6500,0.234615385,58.98
Music,failed,5000,0.12,90.04
Food,failed,7500,0.004666667,30
Fashion,successful,1200,1.296666667,45.04
Film &amp; Video,successful,1000,1.565,30
Publishing,failed,25000,0.0504,45.59
Publishing,successful,500,1.086,59.96
Art,successful,500,2.12998,42.98
Music,successful,12000,1.21125,40
Publishing,successful,2000,1.032525,20.29
Film &amp; Video,failed,5000,0.038,40
Art,failed,2500,0.01,15
Publishing,failed,3500,0.202857143,29.96
Film &amp; Video,successful,600,1.345,30
Publishing,failed,25000,0.0064,50
Film &amp; Video,failed,3000,0.200333333,75.17
Film &amp; Video,failed,15000,0.000333333,59.96
Film &amp; Video,failed,1000,0.0031,47.15
Comics,failed,3700,0.012432432,60.04
Music,successful,500,1.11272,59.96
Music,successful,5000,1.146,30
Film &amp; Video,successful,3000,1.20011,45.96
Publishing,failed,5000,0.007,60
Publishing,failed,50000,0.0588,21
Music,successful,1500,1.234,50
Film &amp; Video,successful,12000,1.07,87.53
Art,successful,1600,1.075625,24.96
Art,successful,5000,1.0304,66.75
Design,failed,1500,0.211333333,30
Fashion,successful,10000,1.008,44.96
Food,successful,28000,1.000321429,30.5
Film &amp; Video,failed,6000,0.000833333,31
Music,successful,2500,1.114,30
Film &amp; Video,successful,2000,1.03275,34.4
Music,successful,500,1.81444,17.33
Film &amp; Video,successful,5000,1.033,30
Games,failed,15000,0.001,29.96
Music,successful,3000,1.07,19.96
Music,successful,5000,1.266196,90
Art,failed,600,0.041666667,38.69
Film &amp; Video,successful,1000,1.336,45.04
Music,failed,3000,0.03,30
Theater,failed,30000,0.115,60
Publishing,failed,2000,0.0505,34.14
Film &amp; Video,successful,20000,1.01055,90
Publishing,failed,6000,0.341833333,24.21
Theater,successful,750,2.537333333,30
Fashion,failed,75000,0.069426667,30
Film &amp; Video,successful,3000,1.047,60.04
Film &amp; Video,failed,10000,0,42.09
Film &amp; Video,successful,5000,1.1822,35.85
Art,failed,6300,0.336479365,30.23
Film &amp; Video,failed,25000,0.03456,30
Dance,successful,2000,1.1105,30
Music,successful,2500,1.010268,36.77
Design,failed,12000,0.000416667,28.96
Photography,successful,900,1.117777778,19
Music,successful,600,1.183333333,14.97
Theater,successful,2000,1.015,41.93
Music,successful,2000,1.827,15
Film &amp; Video,successful,12000,1.043766667,36.87
Food,failed,4700,0.210851064,30.84
Food,failed,15000,0.0372,45
Publishing,failed,1500,0.171333333,29.96
Film &amp; Video,successful,99999,1.175357354,30
Theater,failed,2100,0.002380952,30
Film &amp; Video,successful,12000,2.045666667,89.95
Design,failed,6000,0.011666667,29.96
Film &amp; Video,failed,2000,0.035,44.96
Film &amp; Video,successful,8925,1.013333333,45.06
Publishing,failed,10000,0.052,59.96
Film &amp; Video,successful,2500,1.70144,30
Theater,successful,2000,1.263,30
Film &amp; Video,failed,4999,0.030006001,44.49
Music,successful,2000,1.0325,60
Comics,failed,1000,0.17,83.23
Dance,successful,7500,1.014266667,33.02
Music,successful,1000,1.147,30
Art,successful,2000,1.113,25
Music,successful,3000,1.291443333,30
Film &amp; Video,successful,5000,1.0408,30
Art,successful,2500,1.034,45
Publishing,successful,500,1.772,30
Comics,successful,1100,1.406363636,45
Design,successful,600,1.225,21
Film &amp; Video,failed,29000,3.45E-05,45.04
Games,failed,40000,0.010125,30
Art,failed,12000,0.217333333,45.04
Theater,successful,500,1.122,10
Film &amp; Video,successful,3000,1.009333333,27.75
Photography,failed,22500,0.010755556,54.04
Music,failed,5000,0.2132,30.15
Games,successful,15000,1.070748,30
Film &amp; Video,failed,8500,0.078705882,30
Film &amp; Video,successful,2000,3.2375,37.53
Film &amp; Video,failed,5000,0.1244,30
Theater,failed,3500,0.104285714,63.12
Music,failed,3000,0.411666667,30
Music,successful,30000,1.22025,30
Film &amp; Video,successful,3000,1.02,33
Music,successful,5000,1.2222,45
Music,failed,10000,0,60
Food,failed,8000,0.0125,60
Music,successful,5000,2.6003,60
Food,successful,5500,1.185818182,40
Photography,failed,2200,0.169318182,30
Art,successful,4200,3.010238095,18.02
Film &amp; Video,failed,10000,0.335,31
Art,successful,2000,1,88.89
Film &amp; Video,successful,6000,1.2275,90
Photography,successful,1500,1.10266,41.19
Music,successful,1500,1.000506667,30
Music,failed,25000,0.2888,30.87
Comics,successful,1500,1.037333333,41.46
Music,failed,3000,0,30
Music,failed,7000,0,30
Film &amp; Video,failed,3000,0.075,30
Publishing,failed,9000,0.011111111,29.96
Publishing,successful,7000,1.261714286,34.49
Photography,successful,1803,1.071547421,30
Design,successful,16850,2.450777448,45
Publishing,successful,3000,1.073666667,16
Music,successful,6000,1.057,60
Film &amp; Video,successful,4750,1.022105263,59.76
Film &amp; Video,successful,5000,1.032,30
Music,successful,7500,1.005796,14.08
Music,successful,1000,1.085,60.04
Publishing,failed,2500,0.37,15.63
Music,successful,4985,1.105315948,34.56
Art,successful,1000,1.015,30
Publishing,successful,500,1.05,60.04
Music,failed,19000,0.062105263,58.26
Publishing,failed,3000,0.135333333,60
Music,successful,5000,1.0456,30
Comics,failed,500,0.04,30
Art,successful,2000,1.17,25
Music,successful,2500,1.0688,49.06
Music,successful,3000,1.088333333,42.61
Theater,successful,1000,1.581,45
Publishing,failed,10340,0.01934236,63.63
Theater,successful,2012,1.059642147,30.59
Film &amp; Video,successful,1000,1,30
Film &amp; Video,successful,7777,1.082363379,37
Technology,failed,30000,0.431166667,14
Theater,failed,4500,0.51374,61
Theater,successful,4000,1.20375,31.37
Dance,successful,3000,1.058333333,46.08
Games,successful,2000,3.507755,22.52
Art,failed,550,0.045454545,30
Film &amp; Video,failed,7500,0.023333333,45
Design,failed,80000,0.04275,30
Music,failed,1996,0.115230461,59.96
Music,failed,9444,0.34858111,36.63
Art,successful,900,1.377777778,25
Film &amp; Video,failed,25000,0.06536,54
Design,failed,20000,0.1888,60
Music,successful,3300,1.018484848,30
Music,successful,550,1.007272727,21.31
Film &amp; Video,successful,1250,1.1392,45
Publishing,successful,7000,1.146714286,45
Music,failed,4000,0,29.96
Photography,failed,20000,0.15875,30
Music,successful,2500,1.134028,45.57
Art,failed,975,0.307692308,30
Film &amp; Video,failed,12000,0.446333333,33.63
Music,successful,3500,1.086,45
Film &amp; Video,failed,1800,0,40
Games,failed,10000,0.2613,87.79
Music,successful,3000,1.034,30.96
Photography,failed,6500,0,40
Film &amp; Video,successful,1000,1.022,59.04
Film &amp; Video,failed,20000,0.03425,67.14
Publishing,successful,500,1.25,90
Film &amp; Video,successful,4300,1.034418605,30
Technology,failed,16000,0.046375,30
Art,successful,2500,1.5584,30
Film &amp; Video,failed,125000,0.01972,50
Art,successful,1500,1,21.18
Film &amp; Video,successful,2000,1.08138,30.96
Photography,failed,10000,0.033,30
Design,successful,15000,1.0148,60
Art,failed,885,0.054237288,29.57
Theater,successful,1500,1.033333333,74.21
Film &amp; Video,failed,20000,0,30
Film &amp; Video,successful,7000,1.104285714,24.74
Music,successful,500,1.12,29.96
Film &amp; Video,failed,7500,0,39.06
Film &amp; Video,failed,17000,0.425882353,31
Theater,successful,1200,1.533333333,35
Music,successful,1000,1.356,30.54
Photography,successful,1600,1.146875,21.99
Publishing,successful,10000,1.072,52.67
Art,failed,25000,0.12304,30.44
Photography,successful,1000,2.64,14.33
Art,successful,800,1.0125,29.46
Theater,successful,3000,1.221666667,45
Design,successful,2000,2.95986,30
Publishing,failed,8000,0,41.01
Publishing,failed,20000,0.00835,45
Art,successful,750,1.54,60
Publishing,failed,10000,0.0015,30
Fashion,failed,20000,0.04555,45
Fashion,successful,3500,1.445714286,29.96
Games,failed,6500,0.106,56.11
Film &amp; Video,failed,10000,0.7842,89.32
Film &amp; Video,successful,13000,1.025076923,30
Music,failed,8000,0.07125,59.96
Comics,successful,3000,2,31.06
Music,successful,500,1.238,30
Publishing,failed,2500,0,29.96
Film &amp; Video,failed,2500,0.0224,90.96
Dance,successful,7500,1.123036,45.05
Film &amp; Video,failed,500,0.222,30
Art,failed,5000,0.076,59.96
Publishing,successful,4400,1.139772727,31.31
Music,successful,4000,1.11275,40.96
Music,successful,2500,1.0556,30.04
Film &amp; Video,successful,25000,1.04136,41.36
Film &amp; Video,failed,5000,0.045,59.87
Games,failed,6000,0.010166667,29.96
Film &amp; Video,failed,15000,0.277933333,60.04
Music,failed,5000,0.235,37.73
Music,failed,1500,0.127333333,29.96
Publishing,failed,3500,0.007714286,90
Film &amp; Video,successful,1000,1.035,45
Music,failed,25144,0.310734967,32.93
Comics,failed,5000,0.1772,30
Food,failed,8560,0.018224299,30
Photography,failed,2400,0.051666667,48
Film &amp; Video,successful,1500,1.016666667,59.31
Design,failed,8000,0.03575,50
Theater,successful,800,1,24.53
Film &amp; Video,successful,2500,1.0096,21.27
Design,successful,10000,1.1659,32.96
Music,successful,7000,1.005,59.96
Theater,successful,5500,1.031818182,32.03
Film &amp; Video,successful,7000,1.011428571,30
Technology,successful,7500,1.125562667,61
Music,failed,600,0,90
Music,successful,13000,1.016290769,60
Music,failed,1000,0,90.96
Music,successful,2500,1.2664,32.52
Theater,successful,5000,1,52.41
Theater,successful,4000,1.159,21.96
Art,successful,6000,1.023961667,30
Fashion,successful,5000,1.023576,59.96
Art,successful,2692,1.217682021,42.98
Theater,failed,600,0,30
Film &amp; Video,successful,5000,1.05,30
Music,successful,900,1.400577778,51.64
Film &amp; Video,successful,10000,1.268121,45
Film &amp; Video,successful,5000,1.148342,30
Games,failed,10000,0.0951,30
Film &amp; Video,failed,5000,0,30
Music,failed,6000,0.070833333,30
Film &amp; Video,successful,500,1,14
Film &amp; Video,successful,800,1.00625,25.12
Music,successful,15000,1.097,43.85
Publishing,successful,10000,1.341766,30
Film &amp; Video,successful,10000,1.207565,60.04
Dance,failed,3000,0.172333333,89.87
Art,successful,2000,1.001055,30
Art,successful,1000,1.18,60.04
Music,successful,6000,1.033333333,41.55
Music,successful,1250,1.072,36.06
Games,successful,4500,1.319777778,44.96
Photography,failed,10000,0.1741,60.04
Music,successful,1500,1.012,30
Theater,successful,4400,1.235227273,31.61
Publishing,successful,5000,1.1554,30.04
Film &amp; Video,failed,4800,0,47.88
Comics,successful,3000,1.011333333,58
Film &amp; Video,failed,3000,0,68.85
Comics,failed,4000,0.1315,30
Technology,failed,7500,0.238933333,54.87
Comics,failed,10000,0.0245,65
Film &amp; Video,failed,5000,0.067,30
Technology,failed,20000,0.05055,30
Film &amp; Video,failed,6000,0.05,45.08
Film &amp; Video,successful,2500,1.14,31.1
Art,successful,7500,2.4792,45
Food,successful,5000,1.195,60
Music,successful,1000,1.36,30
Music,failed,2500,0.07,30
Publishing,failed,100000,0.0145,30
Fashion,failed,19250,0.017402597,90.73
Publishing,failed,7000,0.014285714,45.59
Publishing,successful,750,1,27.37
Fashion,successful,3500,1.043142857,60
Music,failed,845,0.023668639,30
Music,failed,15000,0.026666667,32.34
Technology,successful,15000,1.747066667,21.23
Music,successful,4000,1.25125,23.1
Film &amp; Video,successful,5000,1.26,45
Dance,successful,2500,1.1884,25
Film &amp; Video,failed,8500,0.24,29.66
Fashion,successful,18000,1.029,26
Art,failed,20000,0.1474,35
Film &amp; Video,successful,1600,2.1025,59.96
Film &amp; Video,failed,10000,0.093,30.63
Design,failed,1650,0.063636364,60.04
Technology,successful,5000,1.1056,30
Film &amp; Video,successful,10250,1.099252683,20.35
Film &amp; Video,failed,10000,0,30.04
Publishing,failed,9600,0.010416667,35.11
Film &amp; Video,failed,11000,0.137727273,60.04
Food,successful,20000,1.21035,90.96
Film &amp; Video,failed,7500,0.102133333,45
Film &amp; Video,failed,15311.11,0.152111767,31.26
Publishing,failed,11500,0.876,43.47
Theater,failed,1000,0.075,49.7
Film &amp; Video,successful,1000,1.502,30.04
Art,successful,7500,1.0128,39.96
Music,successful,2000,1.30575,36.16
Music,successful,2000,1.0785,60.96
Film &amp; Video,successful,7000,1.571571429,45
Film &amp; Video,successful,2000,1.1815,30.96
Film &amp; Video,successful,3000,1.021,20.14
Music,successful,4000,1.03125,30
Film &amp; Video,failed,10000,0,32.35
Games,successful,18000,1.052777778,31.1
Music,failed,1000,0,22.19
Film &amp; Video,successful,4000,1.14775,30
Design,failed,500,0.224,30
Comics,failed,2500,0.278,45
Film &amp; Video,failed,1500,0,49.5
Film &amp; Video,failed,20000,0,30
Publishing,failed,4000,0.0125,86.81
Film &amp; Video,failed,6500,0.000153846,40
Technology,failed,50000,0.023,60
Games,failed,10333,0.100648408,42.96
Film &amp; Video,successful,5000,1.0464,30
Film &amp; Video,failed,20000,0.31935,60
Design,successful,1000,2.425,21
Music,successful,2500,1.208004,30
Publishing,successful,7500,1.03,30
Film &amp; Video,failed,15000,0.009666667,14.96
Film &amp; Video,failed,2000,0.035,30
Film &amp; Video,successful,2800,1.085714286,29.04
Games,successful,12500,1.050436,30
Publishing,failed,2500,0.02,30
Publishing,successful,10000,1.8861,28.22
Music,successful,3600,3.484722222,18.52
Film &amp; Video,successful,3200,1.0078125,31
Music,successful,1500,1.466953333,44.99
Games,failed,4000,0.21375,29.96
Publishing,successful,7000,1.079857143,90.96
Fashion,successful,1650,1,25.66
Art,successful,2500,1.2156,30
Film &amp; Video,successful,30000,1.05,30
Photography,failed,7500,0.025466667,45
Film &amp; Video,successful,987,1.032867275,47.88
Music,successful,3000,1.698666667,30
Music,failed,135000,0.1108,60.04
Music,failed,5000,0.2216,60
Music,successful,3000,2.097,30
Food,successful,15000,1.060533333,39.96
Food,failed,911,0.639956092,12
Film &amp; Video,successful,10000,1.0001,30
Film &amp; Video,failed,30000,0,81
Film &amp; Video,successful,21000,1.051274762,60.04
Film &amp; Video,successful,12500,1.2168,49.66
Art,successful,3500,1.007808571,35.14
Film &amp; Video,failed,1400,0.002857143,22.65
Art,successful,800,1.5375,8.95
Music,failed,3350,0.017910448,30
Film &amp; Video,failed,10065,0.129359165,29.99
Food,failed,20000,0.049,29.96
Art,failed,10000,0,52.35
Theater,successful,3000,3.355833333,31.05
Theater,successful,3000,1.033333333,30
Theater,successful,12000,1.155620833,30
Design,failed,2000,0.198,56.71
Film &amp; Video,successful,4500,1.395555556,28
Art,failed,1900,0.113157895,61.96
Film &amp; Video,failed,10000,0,90.96
Film &amp; Video,successful,1000,1.002,30
Technology,successful,10000,1.0264,30
Theater,successful,2500,1.024,32.38
Film &amp; Video,failed,25000,0.55764,40
Film &amp; Video,successful,13000,1.286153846,41
Film &amp; Video,successful,10000,1.1145,29.96
Music,failed,2500,0.05,30
Theater,successful,6500,1.059078462,30
Film &amp; Video,successful,5000,1.18145,30
Film &amp; Video,failed,500,0,30
